account_id,account_holder1,addr1,addr2,addr3,addr4,postcode,propref,vo_propdescrip,liable_from,current_rv,sbrr,retail
7.0018991E7,NATIONAL WESTMINSTER BANK PLC   ,247-249 BANBURY ROAD               ,OXFORD                             ,                                ,                                ,OX2 7AG ,1.10260249E10,BANK AND PREMISES                                           ,1991-01-04T00:00:00Z,84500.0,      ,      
7.1192446E7,GAILS LTD                       ,251 BANBURY ROAD                   ,OXFORD                             ,                                ,                                ,OX2 7HN ,1.10260251E10,SHOP AND PREMISES                                           ,2015-06-10T00:00:00Z,42000.0,      ,Y     
7.1192446E7,GAILS LTD                       ,251 BANBURY ROAD                   ,OXFORD                             ,                                ,                                ,OX2 7HN ,1.10260251E10,SHOP AND PREMISES                                           ,2015-06-10T00:00:00Z,42000.0,      ,Y     
7.1192446E7,GAILS LTD                       ,251 BANBURY ROAD                   ,OXFORD                             ,                                ,                                ,OX2 7HN ,1.10260251E10,SHOP AND PREMISES                                           ,2015-06-10T00:00:00Z,42000.0,      ,Y     
7.1190818E7,CHRISJAN HARTLEY LTD            ,1 MAYFIELD HOUSE 256               ,BANBURY ROAD                       ,OXFORD                          ,                                ,OX2 6JU ,1.1026025601E10,SHOP AND PREMISES                                           ,2013-09-26T00:00:00Z,32500.0,      ,Y     
7.1190818E7,CHRISJAN HARTLEY LTD            ,1 MAYFIELD HOUSE 256               ,BANBURY ROAD                       ,OXFORD                          ,                                ,OX2 6JU ,1.1026025601E10,SHOP AND PREMISES                                           ,2013-09-26T00:00:00Z,32500.0,      ,Y     
7.1190818E7,CHRISJAN HARTLEY LTD            ,1 MAYFIELD HOUSE 256               ,BANBURY ROAD                       ,OXFORD                          ,                                ,OX2 6JU ,1.1026025601E10,SHOP AND PREMISES                                           ,2013-09-26T00:00:00Z,32500.0,      ,Y     
7.1187871E7,HARVEY JONES LTD                ,4 MAYFIELD HOUSE                   ,256 BANBURY ROAD                   ,OXFORD                          ,                                ,OX2 6JU ,1.1026025602E10,SHOP AND PREMISES                                           ,2009-09-10T00:00:00Z,40250.0,      ,Y     
7.1187871E7,HARVEY JONES LTD                ,4 MAYFIELD HOUSE                   ,256 BANBURY ROAD                   ,OXFORD                          ,                                ,OX2 6JU ,1.1026025602E10,SHOP AND PREMISES                                           ,2009-09-10T00:00:00Z,40250.0,      ,Y     
7.1187871E7,HARVEY JONES LTD                ,4 MAYFIELD HOUSE                   ,256 BANBURY ROAD                   ,OXFORD                          ,                                ,OX2 6JU ,1.1026025602E10,SHOP AND PREMISES                                           ,2009-09-10T00:00:00Z,40250.0,      ,Y     
7.1187696E7,PENNY & SINCLAIR LIMITED        ,2 MAYFIELD HOUSE                   ,256 BANBURY ROAD                   ,OXFORD                          ,                                ,OX2 6JU ,1.1026025604E10,SHOP AND PREMISES                                           ,2009-05-21T00:00:00Z,38000.0,      ,Y     
7.1187696E7,PENNY & SINCLAIR LIMITED        ,2 MAYFIELD HOUSE                   ,256 BANBURY ROAD                   ,OXFORD                          ,                                ,OX2 6JU ,1.1026025604E10,SHOP AND PREMISES                                           ,2009-05-21T00:00:00Z,38000.0,      ,Y     
7.1187696E7,PENNY & SINCLAIR LIMITED        ,2 MAYFIELD HOUSE                   ,256 BANBURY ROAD                   ,OXFORD                          ,                                ,OX2 6JU ,1.1026025604E10,SHOP AND PREMISES                                           ,2009-05-21T00:00:00Z,38000.0,      ,Y     
7.1186435E7,SAVILLS (UK) LTD                ,6 MAYFIELD HOUSE                   ,256 BANBURY ROAD                   ,OXFORD                          ,                                ,OX2 6JU ,1.1026025612E10,SHOP AND PREMISES                                           ,2007-09-21T00:00:00Z,39250.0,      ,Y     
7.1186435E7,SAVILLS (UK) LTD                ,6 MAYFIELD HOUSE                   ,256 BANBURY ROAD                   ,OXFORD                          ,                                ,OX2 6JU ,1.1026025612E10,SHOP AND PREMISES                                           ,2007-09-21T00:00:00Z,39250.0,      ,Y     
7.1186435E7,SAVILLS (UK) LTD                ,6 MAYFIELD HOUSE                   ,256 BANBURY ROAD                   ,OXFORD                          ,                                ,OX2 6JU ,1.1026025612E10,SHOP AND PREMISES                                           ,2007-09-21T00:00:00Z,39250.0,      ,Y     
7.1193476E7,BLUE COMMUNICATION LIMITED      ,2ND FLR FRONT MAYFIELD HOUSE       ,256 BANBURY ROAD                   ,OXFORD                          ,                                ,OX2 7DE ,1.1026025613E10,Offices and Premises                                        ,2015-01-09T00:00:00Z,46000.0,      ,      
7.1193476E7,BLUE COMMUNICATION LIMITED      ,2ND FLR FRONT MAYFIELD HOUSE       ,256 BANBURY ROAD                   ,OXFORD                          ,                                ,OX2 7DE ,1.1026025613E10,Offices and Premises                                        ,2015-01-09T00:00:00Z,46000.0,      ,      
7.1193476E7,BLUE COMMUNICATION LIMITED      ,2ND FLR FRONT MAYFIELD HOUSE       ,256 BANBURY ROAD                   ,OXFORD                          ,                                ,OX2 7DE ,1.1026025613E10,Offices and Premises                                        ,2015-01-09T00:00:00Z,46000.0,      ,      
7.1193477E7,BLUE COMMUNICATION LIMITED      ,CAR SPACES 8-10                    ,MAYFIELD HOUSE                     ,256 BANBURY ROAD                ,OXFORD                          ,OX2 7DE ,1.1026025614E10,Car Parking Space and Premises                              ,2015-01-09T00:00:00Z,1050.0,      ,      
7.1193477E7,BLUE COMMUNICATION LIMITED      ,CAR SPACES 8-10                    ,MAYFIELD HOUSE                     ,256 BANBURY ROAD                ,OXFORD                          ,OX2 7DE ,1.1026025614E10,Car Parking Space and Premises                              ,2015-01-09T00:00:00Z,1050.0,      ,      
